"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"The Dawning Archaic","","M","387","","193","","1070","85.7%","54.9%","161","","346","","507","54.0%","546","55.3%","-1.3pp"
"Rancorous Archaic","","C","16662","7.48","2158","10.65","3559","26.3%","54.5%","593","53.6%","1042","58.7%","1635","56.9%","1867","52.3%","4.6pp"
"Sundering Archaic","","U","5669","5.15","1300","6.42","5403","65.1%","55.5%","900","54.4%","1558","62.9%","2458","59.8%","2831","51.2%","8.6pp"
"Together as One","","R","1105","2.48","647","2.49","3492","83.2%","58.5%","575","58.6%","1004","67.7%","1579","64.4%","1764","51.7%","12.7pp"
"Transcendent Archaic","","U","6320","5.76","1062","7.84","3136","46.8%","55.2%","516","51.2%","922","63.7%","1438","59.2%","1639","51.2%","8.0pp"
"Ajani's Response","W","C","13199","5.16","2245","6.99","10643","73.4%","57.6%","1832","55.9%","2755","60.7%","4587","58.8%","5992","56.7%","2.1pp"
"Antiquities on the Loose","W","R","935","2.03","557","2.04","3366","90.6%","60.9%","618","66.0%","856","64.5%","1474","65.1%","1874","57.7%","7.4pp"
"Ascendant Dustspeaker","W","C","15195","6.53","2218","9.12","7230","51.6%","56.9%","1208","56.9%","1861","56.9%","3069","56.9%","4161","56.8%","0.1pp"
"Daydream","W","U","6038","5.98","777","8.71","1680","32.4%","53.3%","299","","416","","715","53.1%","953","53.8%","-0.7pp"
"Dig Site Inventory","W","C","14025","5.86","2328","7.88","10020","67.7%","57.1%","1720","55.5%","2364","59.3%","4084","57.7%","5921","56.6%","1.1pp"
"Eager Glyphmage","W","C","14684","6.15","2404","8.28","9212","59.5%","57.0%","1582","56.1%","2332","56.3%","3914","56.2%","5261","57.5%","-1.3pp"
"Elite Interceptor","W","C","12093","4.73","3041","5.67","17200","86.0%","58.9%","3126","60.8%","4330","60.1%","7456","60.4%","9701","57.8%","2.6pp"
"Emeritus of Truce","W","M","415","","218","","1360","89.7%","58.8%","244","","348","","592","61.1%","758","57.0%","4.2pp"
"Ennis, Debate Moderator","W","U","4988","4.75","759","6.40","3022","60.5%","53.8%","542","47.8%","720","52.8%","1262","50.6%","1757","56.1%","-5.5pp"
"Erode","W","R","1237","2.50","375","","2080","85.3%","57.4%","353","","564","60.1%","917","59.0%","1141","56.2%","2.8pp"
"Graduation Day","W","U","4990","5.28","711","7.19","2187","47.5%","54.5%","370","","522","51.9%","892","53.7%","1291","55.1%","-1.4pp"
"Group Project","W","U","4607","4.33","1201","5.20","6642","84.4%","58.0%","1219","59.1%","1654","58.5%","2873","58.7%","3761","57.4%","1.4pp"
"Harsh Annotation","W","U","5667","5.83","517","9.15","950","28.6%","51.8%","138","","220","","358","","586","53.9%",""
"Honorbound Page","W","C","15168","6.42","1960","9.30","5533","43.4%","55.5%","926","54.5%","1359","58.2%","2285","56.7%","3238","54.7%","2.0pp"
"Informed Inkwright","W","R","831","1.86","488","","3001","91.0%","60.1%","585","64.3%","774","64.1%","1359","64.2%","1621","56.6%","7.5pp"
"Inkshape Demonstrator","W","U","4768","4.44","1022","5.53","4842","76.5%","57.1%","846","56.6%","1235","56.5%","2081","56.6%","2743","57.3%","-0.7pp"
"Interjection","W","C","16153","7.35","2080","10.50","3523","26.6%","57.4%","608","59.5%","909","57.2%","1517","58.1%","2002","56.7%","1.4pp"
"Joined Researchers","W","R","2049","3.90","469","","2177","72.3%","56.3%","377","","558","53.2%","935","54.5%","1238","57.6%","-3.0pp"
"Owlin Historian","W","C","15006","6.31","2311","8.61","8572","58.2%","57.1%","1430","54.8%","2248","56.5%","3678","55.8%","4886","57.9%","-2.1pp"
"Practiced Offense","W","R","883","1.92","540","1.85","3193","90.4%","60.9%","519","60.9%","822","66.9%","1341","64.6%","1825","58.0%","6.6pp"
"Primary Research","W","U","4892","4.55","1010","5.74","4182","65.5%","56.2%","718","54.2%","1146","56.6%","1864","55.7%","2308","56.8%","-1.1pp"
"Quill-Blade Laureate","W","U","4034","3.60","1012","4.29","5664","86.2%","57.2%","1019","56.6%","1398","58.3%","2417","57.6%","3238","56.8%","0.8pp"
"Rapier Wit","W","C","15785","7.05","2058","10.07","4097","30.5%","56.2%","672","55.1%","1007","55.8%","1679","55.5%","2401","56.7%","-1.2pp"
"Rehearsed Debater","W","C","15420","6.64","2160","9.43","6660","48.2%","56.4%","1149","54.4%","1609","55.4%","2758","55.0%","3896","57.3%","-2.3pp"
"Restoration Seminar","W","M","476","","232","","1093","75.5%","54.8%","179","","288","","467","","601","52.7%",""
"Shattered Acolyte","W","C","14671","6.00","2200","8.34","8960","64.3%","57.2%","1651","57.8%","2167","56.2%","3818","56.9%","5132","57.3%","-0.5pp"
"Soaring Stoneglider","W","U","4732","4.45","907","5.65","4443","77.4%","55.9%","772","52.7%","1165","57.3%","1937","55.5%","2511","56.2%","-0.7pp"
"Spiritcall Enthusiast","W","U","5330","5.09","858","6.86","2936","53.3%","55.6%","512","53.7%","758","52.2%","1270","52.8%","1660","57.7%","-4.8pp"
"Stand Up for Yourself","W","U","4467","4.12","973","5.11","5146","81.1%","57.6%","830","55.9%","1289","58.8%","2119","57.7%","3004","57.4%","0.3pp"
"Stirring Hopesinger","W","R","729","1.66","489","","3083","92.1%","59.6%","591","64.5%","841","65.4%","1432","65.0%","1644","55.1%","9.9pp"
"Stone Docent","W","C","14418","5.85","2755","7.55","13584","77.2%","58.1%","2425","58.7%","3298","57.1%","5723","57.8%","7850","58.3%","-0.5pp"
"Summoned Dromedary","W","U","5205","4.77","960","6.19","4267","71.1%","56.8%","753","53.0%","1057","55.7%","1810","54.6%","2463","58.4%","-3.8pp"
"Banishing Betrayal","U","C","15137","6.38","2078","9.08","6794","52.1%","53.5%","1250","49.4%","1909","59.0%","3159","55.2%","3490","51.9%","3.3pp"
"Brush Off","U","U","6273","6.11","933","8.26","2649","44.7%","54.2%","419","","771","58.9%","1190","56.8%","1401","51.3%","5.5pp"
"Campus Composer","U","U","4494","4.14","910","5.30","4797","80.9%","53.9%","802","51.9%","1434","55.9%","2236","54.5%","2477","53.2%","1.2pp"
"Chase Inspiration","U","C","16598","8.02","1972","11.39","2106","16.9%","54.8%","363","","589","57.7%","952","56.3%","1121","53.6%","2.7pp"
"Deluge Virtuoso","U","C","14757","6.30","1918","9.06","6023","49.4%","52.1%","1032","50.0%","1676","53.8%","2708","52.3%","3176","51.5%","0.8pp"
"Divergent Equation","U","U","6039","5.97","1054","7.67","3689","55.5%","56.1%","621","53.3%","1116","60.8%","1737","58.1%","1820","53.5%","4.6pp"
"Echocasting Symposium","U","M","388","","255","","1398","87.2%","55.4%","231","","410","","641","61.6%","678","49.1%","12.5pp"
"Emeritus of Ideation","U","M","297","","230","","1346","85.8%","60.3%","217","","418","","635","68.3%","666","52.0%","16.4pp"
"Encouraging Aviator","U","U","5134","4.90","830","6.41","3208","64.4%","50.5%","564","48.2%","871","54.4%","1435","52.0%","1716","48.8%","3.2pp"
"Essence Scatter","U","C","13502","5.48","2585","7.20","13004","78.8%","54.9%","2358","56.1%","3670","58.2%","6028","57.4%","6663","52.3%","5.1pp"
"Exhibition Tidecaller","U","R","1379","2.67","536","2.63","2862","84.0%","56.6%","529","56.5%","812","62.3%","1341","60.0%","1424","52.2%","7.9pp"
"Flow State","U","U","4430","3.93","1099","4.85","5780","80.8%","55.7%","1039","53.4%","1665","60.0%","2704","57.5%","2898","53.6%","3.9pp"
"Fractal Anomaly","U","U","6683","6.85","782","9.86","817","16.6%","47.4%","153","","239","","392","","414","",""
"Fractalize","U","U","6516","6.63","847","9.51","1601","29.2%","49.5%","265","","437","","702","50.4%","858","48.3%","2.2pp"
"Harmonized Trio","U","R","1434","2.92","420","","2015","74.0%","53.7%","378","","591","56.0%","969","56.2%","1017","51.1%","5.1pp"
"Homesickness","U","U","5345","5.23","974","6.82","4265","67.8%","55.0%","686","49.7%","1286","59.6%","1972","56.1%","2179","53.6%","2.5pp"
