"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"The Dawning Archaic","","M","376","","198","","1004","81.6%","51.4%","149","","318","","467","","519","49.7%",""
"Rancorous Archaic","","C","15543","7.45","2150","10.59","3582","27.6%","52.3%","586","50.3%","1025","56.8%","1611","54.4%","1919","50.5%","3.9pp"
"Sundering Archaic","","U","5145","4.96","1327","6.21","5756","69.4%","55.8%","929","57.3%","1742","57.5%","2671","57.4%","2941","53.6%","3.8pp"
"Together as One","","R","1036","2.37","640","2.35","3628","84.1%","58.8%","631","61.5%","1050","68.2%","1681","65.7%","1808","51.4%","14.3pp"
"Transcendent Archaic","","U","5866","5.71","1068","7.49","3460","52.2%","54.2%","555","56.2%","997","59.9%","1552","58.6%","1820","50.0%","8.6pp"
"Ajani's Response","W","C","12153","5.10","2248","6.90","10923","76.1%","58.2%","1844","58.4%","2920","60.7%","4764","59.8%","6078","56.8%","3.0pp"
"Antiquities on the Loose","W","R","910","2.03","521","1.97","3242","90.3%","59.4%","544","64.9%","844","63.7%","1388","64.2%","1827","55.4%","8.8pp"
"Ascendant Dustspeaker","W","C","14327","6.44","2040","9.02","6741","51.8%","55.2%","1125","53.8%","1711","55.7%","2836","54.9%","3903","55.3%","-0.3pp"
"Daydream","W","U","5710","6.05","699","8.82","1336","29.9%","50.3%","222","","329","","551","48.8%","785","51.3%","-2.5pp"
"Dig Site Inventory","W","C","13313","5.68","2170","7.62","9467","69.2%","56.1%","1568","53.0%","2233","56.8%","3801","55.2%","5641","56.7%","-1.4pp"
"Eager Glyphmage","W","C","14048","6.23","2317","8.52","8680","59.9%","56.6%","1517","56.4%","2212","57.5%","3729","57.0%","4923","56.2%","0.8pp"
"Elite Interceptor","W","C","11167","4.64","2779","5.52","16050","87.9%","58.8%","2898","61.1%","4221","59.7%","7119","60.3%","8865","57.5%","2.8pp"
"Emeritus of Truce","W","M","337","","197","","1113","87.5%","56.9%","192","","310","","502","60.0%","607","54.4%","5.6pp"
"Ennis, Debate Moderator","W","U","4679","4.78","685","6.61","2416","56.1%","53.9%","450","","592","51.9%","1042","51.0%","1370","56.1%","-5.1pp"
